t,frac_C,frac_D,frac_L,avg_res,gini
11000,0.6896,0.3056,0.0048,85.4097390330946,0.07935021475173461
11250,0.69,0.3052,0.0048,85.4101237578765,0.07934336553451203
11500,0.69,0.3052,0.0048,85.40912525723016,0.07935090134938809
11750,0.69,0.3052,0.0048,85.4093009558262,0.07934739705803495
12000,0.6904,0.3044,0.0052,85.40784892925821,0.0793582498044204
12250,0.6908,0.304,0.0052,85.40845874565478,0.07935209147397605
12500,0.6908,0.304,0.0052,85.40817121302526,0.07935351339619201
12750,0.6908,0.304,0.0052,85.40713541064467,0.07936008350809903
13000,0.6908,0.304,0.0052,85.4186793114487,0.07926888327635642
13250,0.6908,0.304,0.0052,85.40712223086534,0.07935838439395748
13500,0.69,0.3048,0.0052,85.40800796972553,0.07935036343727699
13750,0.69,0.3048,0.0052,85.41087508257235,0.07932990035823673
14000,0.69,0.3048,0.0052,85.41097326782206,0.07932989270499767
14250,0.69,0.3048,0.0052,85.40907610221564,0.0793452426743929
14500,0.69,0.3048,0.0052,85.40978436772006,0.07933868464527268
14750,0.6892,0.3056,0.0052,85.4127126048836,0.07931975432681433
15000,0.69,0.3052,0.0048,85.40962656209557,0.07934333754749939
15250,0.69,0.3052,0.0048,85.40892469049122,0.0793492431334403
15500,0.69,0.3052,0.0048,85.40888292280734,0.07934850629961201
15750,0.6892,0.306,0.0048,85.41179049648554,0.07932531548481825
16000,0.69,0.3052,0.0048,85.40903400856998,0.07934651553082786
16250,0.6904,0.3048,0.0048,85.41103018374558,0.07933034932208693
16500,0.6908,0.3044,0.0048,85.41014123722489,0.0793363929911108
16750,0.6904,0.3048,0.0048,85.40901536449405,0.07934453873765344
17000,0.6908,0.3044,0.0048,85.41018075690809,0.07933507568742697
17250,0.6908,0.3044,0.0048,85.40951626895861,0.07933876463942466
17500,0.6904,0.3048,0.0048,85.41009496679611,0.07933339163001529
17750,0.6904,0.3048,0.0048,85.41008177639348,0.0793352334916216
18000,0.6908,0.3044,0.0048,85.40945556034953,0.07934043054607212
18250,0.6908,0.3044,0.0048,85.40750243196466,0.07935623714334443
18500,0.6916,0.3036,0.0048,85.51296609925853,0.07814166384909041
18750,0.6908,0.3044,0.0048,85.51943254111274,0.0780749771003756
19000,0.6912,0.304,0.0048,85.52336093170237,0.07802482398957553
19250,0.6912,0.304,0.0048,85.52708713923381,0.07797746851854366
19500,0.6912,0.304,0.0048,85.53236869207285,0.07791661524083017
19750,0.6908,0.3044,0.0048,85.53112928259338,0.07792446425691966
20000,0.6904,0.3048,0.0048,85.53306895892787,0.07791215603106867
20250,0.6908,0.3044,0.0048,85.53423829007659,0.077903216102713
20500,0.6908,0.3044,0.0048,85.5342847837964,0.07790062787209254
20750,0.6908,0.3044,0.0048,85.53529307736291,0.07789202613738809
21000,0.6916,0.3036,0.0048,85.55412182282325,0.07774706229431051
21250,0.6908,0.3044,0.0048,85.53257455689045,0.07791322010126697
21500,0.6908,0.3044,0.0048,85.53190850280382,0.07791669589647542
21750,0.6912,0.304,0.0048,85.5332915297021,0.0779058481306449
22000,0.6908,0.3044,0.0048,85.53372819406658,0.07790255555369346
22250,0.6912,0.304,0.0048,85.5321234297244,0.07791569768785858
22500,0.6912,0.304,0.0048,85.53420466396116,0.07789902955135672
22750,0.6904,0.3048,0.0048,85.53756851685857,0.0778743657697871
23000,0.6904,0.3048,0.0048,85.53661338867376,0.0778824576689052
23250,0.6908,0.3044,0.0048,85.53624341223286,0.07788656845591445
23500,0.6904,0.3048,0.0048,85.53642703372981,0.07788493154049857
23750,0.69,0.3052,0.0048,85.53648968780433,0.07788216449276789
24000,0.6912,0.304,0.0048,85.53336265115634,0.07790748487342632
24250,0.6916,0.3036,0.0048,85.53480482760705,0.07789628932144194
24500,0.6916,0.3036,0.0048,85.53381184611693,0.07790350954272904
24750,0.6916,0.3036,0.0048,85.53240249183042,0.07791420890547018
25000,0.6912,0.304,0.0048,85.53342407770958,0.07790392448534021
25250,0.6912,0.304,0.0048,85.53285101218535,0.07790773255155446
25500,0.6908,0.3044,0.0048,85.53170524263922,0.07791612399983483
25750,0.6908,0.3044,0.0048,85.53318761323851,0.07790506990828458
26000,0.6912,0.304,0.0048,85.5322887570936,0.07791193857315773
26250,0.6904,0.3048,0.0048,85.54234389146453,0.07782235651562362
26500,0.6916,0.3036,0.0048,85.53129114888281,0.07791963461126991
26750,0.69,0.3052,0.0048,85.53730717033514,0.07788045609382661
27000,0.69,0.3052,0.0048,85.53679473873815,0.07788444034046173
27250,0.6904,0.3048,0.0048,85.53600575732284,0.07789101415194487
27500,0.6904,0.3048,0.0048,85.53451535996497,0.07790211796324882
27750,0.6896,0.3056,0.0048,85.53612979137917,0.07788608789321502
28000,0.6904,0.3048,0.0048,85.53426438752068,0.07790004136290306
28250,0.6916,0.3036,0.0048,85.53492141759013,0.07789537722019813
28500,0.6912,0.304,0.0048,85.53463458117025,0.07789791186820212
28750,0.6916,0.3036,0.0048,85.53365337025618,0.07790499925626264
29000,0.6912,0.304,0.0048,85.53541888099834,0.07788827273089348
29250,0.6916,0.3036,0.0048,85.53433439288065,0.07789518530428433
29500,0.6924,0.3028,0.0048,85.5678951357629,0.07765106454494476
29750,0.694,0.302,0.004,85.74567321471238,0.07575061219429813
30000,0.6928,0.3032,0.004,85.71830665193866,0.07601656420423179
30250,0.6924,0.3036,0.004,85.68043110025852,0.07644147310975447
30500,0.6928,0.3032,0.004,85.68087321636916,0.07643774770426087
30750,0.692,0.304,0.004,85.68278275913993,0.0764276053323742
31000,0.6928,0.3032,0.004,85.68107229264585,0.07644073125086807
31250,0.6928,0.3032,0.004,85.68055675937808,0.07644464355538606
31500,0.6928,0.3032,0.004,85.67949269116207,0.07645342218337976
31750,0.6928,0.3036,0.0036,85.68811663123698,0.07637101227175636
32000,0.6924,0.3036,0.004,85.67955095405262,0.07645052233933587
32250,0.6928,0.3032,0.004,85.68142231854813,0.07643703790821284
32500,0.6924,0.3036,0.004,85.68093579574584,0.0764435735052285
32750,0.6924,0.3036,0.004,85.67991907581465,0.07645181958537173
33000,0.6924,0.3036,0.004,85.68090796707192,0.07644087478807023
33250,0.692,0.304,0.004,85.6811639684901,0.0764364073213585
33500,0.692,0.304,0.004,85.68128820589725,0.07643349917039231
33750,0.6916,0.3044,0.004,85.68276178430384,0.07642293712549929
34000,0.692,0.304,0.004,85.681202852988,0.07643643981135011
34250,0.6924,0.3036,0.004,85.68010393823883,0.0764451009546454
34500,0.6924,0.3036,0.004,85.6816387353706,0.0764321540995782
34750,0.6916,0.3044,0.004,85.6843705522531,0.07641441226355052
35000,0.692,0.304,0.004,85.68364090241165,0.07641987231994998
35250,0.6924,0.3036,0.004,85.6830649587655,0.07642418702233468
35500,0.694,0.3028,0.0032,85.70763646229739,0.07620844642347556
35750,0.6936,0.3032,0.0032,85.79681389295082,0.0752224972363515
36000,0.694,0.3028,0.0032,85.79539949175694,0.07523222322584797
36250,0.6944,0.3024,0.0032,85.79745724866596,0.0752164113911827
36500,0.6944,0.3024,0.0032,85.79597299026754,0.07522994709470679
36750,0.694,0.3028,0.0032,85.79556909125931,0.07523281139785451
37000,0.694,0.3028,0.0032,85.79633715068395,0.07522600979465194
37250,0.694,0.3028,0.0032,85.79698815896546,0.07521700389445947
37500,0.694,0.3028,0.0032,85.79628428909855,0.07522156128541052
37750,0.6936,0.3032,0.0032,85.79867204364162,0.07520415977156203
38000,0.6932,0.3036,0.0032,85.79729391414492,0.07521523788327875
38250,0.6936,0.3032,0.0032,85.79623538114214,0.07522380708833809
38500,0.6932,0.3036,0.0032,85.79779097987257,0.07521228338201608
38750,0.6928,0.304,0.0032,85.79994628887542,0.07519932391332591
39000,0.6932,0.3036,0.0032,85.79795530912233,0.07521651876374022
39250,0.6932,0.3036,0.0032,85.79804063180693,0.07521820184128425
39500,0.6936,0.3032,0.0032,85.79624847436794,0.07523061735067565
39750,0.6928,0.304,0.0032,85.79911498847355,0.07520375419240687
40000,0.6936,0.3032,0.0032,85.8051507945714,0.07515155426781972
40250,0.694,0.3028,0.0032,85.79903428450905,0.0752048736041355
40500,0.6936,0.3032,0.0032,85.79727083462691,0.07522062158636784
40750,0.694,0.3028,0.0032,85.79568590174007,0.07523490082970026
41000,0.6936,0.3032,0.0032,85.79650114643019,0.0752260361726573
41250,0.6936,0.3032,0.0032,85.79670134823124,0.0752216431492877
41500,0.6936,0.3032,0.0032,85.79675724216519,0.07521966161377973
41750,0.694,0.3028,0.0032,85.79808223004959,0.07521064671412209
42000,0.6936,0.3032,0.0032,85.79714398135016,0.07521787912450438
42250,0.694,0.3028,0.0032,85.79495820288471,0.07523577166062341
42500,0.6928,0.304,0.0032,85.79850284004726,0.07520725383607772
42750,0.692,0.3048,0.0032,85.79971641654338,0.0752030685848456
43000,0.6924,0.3044,0.0032,85.79962088476519,0.0752036468294961
43250,0.6928,0.3036,0.0036,85.7977099514903,0.07521701792578256
43500,0.6932,0.3032,0.0036,85.80506928493614,0.0751318121537323
43750,0.6928,0.3036,0.0036,85.80589058547989,0.07512316410853495
44000,0.694,0.3024,0.0036,85.80187351899289,0.07515357663358022
44250,0.694,0.3024,0.0036,85.81055123075073,0.07507585968127724
44500,0.694,0.3024,0.0036,85.80176241424245,0.0751564900729754
44750,0.694,0.3024,0.0036,85.8021002246197,0.07515586948841169
45000,0.694,0.3024,0.0036,85.81621206324142,0.07499325863696187
45250,0.694,0.3024,0.0036,85.81393963108508,0.07501358725424927
45500,0.6936,0.3028,0.0036,85.81368399129008,0.07501685593227261
45750,0.6936,0.3028,0.0036,85.81550285000105,0.07500187072951868
46000,0.6944,0.302,0.0036,85.81298299250486,0.07502123713916488
46250,0.694,0.3024,0.0036,85.81217996485836,0.07502824053912349
46500,0.6944,0.302,0.0036,85.81287837725917,0.07502293249754569
46750,0.6932,0.3032,0.0036,85.81734650826424,0.07499078801481633
47000,0.694,0.3024,0.0036,85.81444738753932,0.07501389961466608
47250,0.6936,0.3028,0.0036,85.8166720041299,0.07499460923277955
47500,0.6936,0.3028,0.0036,85.81525765216064,0.07500531023108657
47750,0.6936,0.3028,0.0036,85.8149532615493,0.07500533480330139
48000,0.694,0.3024,0.0036,85.81361630225466,0.07501691003873069
48250,0.694,0.3024,0.0036,85.8152170578037,0.07500448443790292
48500,0.6936,0.3028,0.0036,85.81522238241737,0.07500352190990303
48750,0.6936,0.3028,0.0036,85.81336269073543,0.07501981720952992
49000,0.6936,0.3028,0.0036,85.81373635618016,0.07501389483480467
49250,0.6928,0.3036,0.0036,85.81501801885085,0.07500735590068217
49500,0.6932,0.3032,0.0036,85.81481983913999,0.07500678413848191
49750,0.6928,0.3036,0.0036,85.81653403368611,0.07499376618612057
50000,0.6936,0.3028,0.0036,85.81544870031833,0.07500137989006951
